Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Syrian Arab Republic,0,0,-1,-3.0297142639092702,-4.9773009434314694
"Taiwan, China",0,0,-1,0.30992995780262067,0.14101364613368178
Tajikistan,0,0,-1,2.4193690892243644,-1.4306762088229688
Tanzania,0,0,-1,7.342053431542146,0.2179121407430993
Thailand,0,0,-1,1.1880845970113671,3.3293516348648713
Timor-Leste,0,0,-1,3.848536116903881,0.7204841478742661
Togo,0,0,-1,5.0866065202814434,0.9208678744355613
Tonga,0,0,-1,2.064792348342659,1.2031962369737517
Trinidad and Tobago,0,0,-1,-0.47223262455547843,0.6784187922802071
Tunisia,0,0,-1,-4.413103659132329,-3.58483829119184
Turkiye,0,0,-1,-1.672142059364022,-0.020772882299175174
Turkmenistan,0,0,-1,2.9963652478592424,0.07471045950391449
Turks and Caicos Islands,0,0,-1,1.0058486343715638,0.6149222948081161
Tuvalu,0,0,-1,0.0997557602031641,-1.2301876192511958
Uganda,0,0,-1,6.016221712992522,0.42362604337451676
Ukraine,0,0,-1,-1.8541954165331813,-1.731492752835369
United Arab Emirates,0,0,-1,1.196623664062333,2.2757505436092957
United Kingdom,0,0,-1,-2.540263023257367,2.8219069263998815
United States,0,0,-1,-6.275363326499558,11.251603153375337
Upper middle income,1,1,-1,-6.446759299824267,15.688443879353567
Uruguay,0,0,-1,-0.14262241340560455,-1.5363182805251079
Uzbekistan,0,0,-1,3.2736443072233588,0.7108890174135675
Vanuatu,0,0,-1,2.339024936613167,-0.06707032898903645
"Venezuela, RB",0,0,-1,0.8380557056103598,0.12105517054370789
Viet Nam,0,0,-1,2.8270585399773895,2.8928983101886807
Virgin Islands (U.S.),0,0,-1,-2.10391827705458,-1.9700185985139755
West Bank and Gaza,0,0,-1,-7.730137714008027,-7.263149900623794
"Yemen, Rep.",0,0,-1,-2.2581439094992026,-5.667108874843536
Zambia,0,0,-1,3.9685066284402253,-0.8327009158883352
Zimbabwe,0,0,-1,2.952430353666444,-0.9379409325489338
